series,label,condition,human_p_x,model_p_x
base,study2_raw_36,baseline,0.400000,0.000203
base,study2_raw_37,medical_director_opposes_private,0.825000,1.000000
base,study2_raw_38,medical_director_supports_private,0.050000,0.000045
base,study2_raw_39,medical_director_supports_private,0.975000,1.000000
base,study2_raw_40,baseline,0.025000,0.000058
ceiling(Gate 1),study2_raw_02,medical_director_supports_private,0.975000,0.989013
ceiling(Gate 1),study2_raw_11,medical_director_supports_private,0.000000,0.005220
ceiling(Gate 1),study2_raw_16,baseline,0.950000,0.952574
ceiling(Gate 1),study2_raw_19,medical_director_opposes_private,0.700000,0.777300
ceiling(Gate 1),study2_raw_20,baseline,0.400000,0.531209
ceiling(Gate 1),study2_raw_25,baseline,0.250000,0.348645
ceiling(Gate 1),study2_raw_30,medical_director_opposes_private,0.875000,0.893309
ceiling(Gate 1),study2_raw_31,medical_director_opposes_private,0.150000,0.119203
ceiling(Gate 1),study2_raw_02,medical_director_supports_private,0.025000,0.014064
ceiling(Gate 1),study2_raw_11,medical_director_supports_private,1.000000,0.996406
ceiling(Gate 1),study2_raw_16,baseline,0.050000,0.047426
ceiling(Gate 1),study2_raw_19,medical_director_opposes_private,0.300000,0.268941
ceiling(Gate 1),study2_raw_20,baseline,0.600000,0.500000
ceiling(Gate 1),study2_raw_25,baseline,0.750000,0.679179
ceiling(Gate 1),study2_raw_30,medical_director_opposes_private,0.125000,0.106691
ceiling(Gate 1),study2_raw_31,medical_director_opposes_private,0.850000,0.893309
ceiling(Gate 1),study2_raw_04,medical_director_supports_private,1.000000,0.993307
ceiling(Gate 1),study2_raw_07,medical_director_opposes_private,0.175000,0.222700
ceiling(Gate 1),study2_raw_14,medical_director_opposes_private,0.900000,0.867036
ceiling(Gate 1),study2_raw_15,medical_director_supports_private,0.025000,0.047426
ceiling(Gate 1),study2_raw_21,baseline,0.300000,0.500000
ceiling(Gate 1),study2_raw_22,medical_director_opposes_private,0.375000,0.407333
ceiling(Gate 1),study2_raw_27,medical_director_supports_private,0.075000,0.095349
ceiling(Gate 1),study2_raw_32,baseline,0.250000,0.201813
ceiling(Gate 1),study2_raw_04,medical_director_supports_private,0.000000,0.006693
ceiling(Gate 1),study2_raw_07,medical_director_opposes_private,0.825000,0.777300
ceiling(Gate 1),study2_raw_14,medical_director_opposes_private,0.100000,0.119203
ceiling(Gate 1),study2_raw_15,medical_director_supports_private,0.975000,0.962673
ceiling(Gate 1),study2_raw_21,baseline,0.700000,0.500000
ceiling(Gate 1),study2_raw_22,medical_director_opposes_private,0.625000,0.592667
ceiling(Gate 1),study2_raw_27,medical_director_supports_private,0.925000,0.924142
ceiling(Gate 1),study2_raw_32,baseline,0.750000,0.798187
ceiling(Gate 1),study2_raw_06,medical_director_supports_private,0.950000,0.952574
ceiling(Gate 1),study2_raw_10,medical_director_supports_private,0.000000,0.006693
ceiling(Gate 1),study2_raw_18,medical_director_opposes_private,0.400000,0.437823
ceiling(Gate 1),study2_raw_23,medical_director_opposes_private,0.153846,0.132964
ceiling(Gate 1),study2_raw_28,baseline,0.051282,0.119203
ceiling(Gate 1),study2_raw_36,baseline,0.600000,0.437823
ceiling(Gate 1),study2_raw_37,medical_director_opposes_private,0.175000,0.067547
ceiling(Gate 1),study2_raw_38,medical_director_supports_private,0.950000,0.977023
ceiling(Gate 1),study2_raw_06,medical_director_supports_private,0.050000,0.042088
ceiling(Gate 1),study2_raw_10,medical_director_supports_private,1.000000,0.992423
ceiling(Gate 1),study2_raw_18,medical_director_opposes_private,0.600000,0.562177
ceiling(Gate 1),study2_raw_23,medical_director_opposes_private,0.846154,0.851953
ceiling(Gate 1),study2_raw_28,baseline,0.948718,0.893309
ceiling(Gate 1),study2_raw_36,baseline,0.400000,0.531209
ceiling(Gate 1),study2_raw_37,medical_director_opposes_private,0.825000,0.939913
ceiling(Gate 1),study2_raw_38,medical_director_supports_private,0.050000,0.029312
ceiling(Gate 1),study2_raw_01,baseline,0.975000,0.982014
ceiling(Gate 1),study2_raw_03,medical_director_supports_private,0.000000,0.005911
ceiling(Gate 1),study2_raw_05,baseline,1.000000,0.995390
ceiling(Gate 1),study2_raw_08,baseline,0.050000,0.182426
ceiling(Gate 1),study2_raw_29,medical_director_opposes_private,0.875000,0.835484
ceiling(Gate 1),study2_raw_33,medical_director_opposes_private,0.475000,0.531209
ceiling(Gate 1),study2_raw_34,medical_director_supports_private,0.400000,0.268941
ceiling(Gate 1),study2_raw_39,medical_director_supports_private,0.975000,0.974043
ceiling(Gate 1),study2_raw_01,baseline,0.025000,0.033086
ceiling(Gate 1),study2_raw_03,medical_director_supports_private,1.000000,0.997817
ceiling(Gate 1),study2_raw_05,baseline,0.000000,0.015906
ceiling(Gate 1),study2_raw_08,baseline,0.950000,0.835484
ceiling(Gate 1),study2_raw_29,medical_director_opposes_private,0.125000,0.132964
ceiling(Gate 1),study2_raw_33,medical_director_opposes_private,0.525000,0.377541
ceiling(Gate 1),study2_raw_34,medical_director_supports_private,0.600000,0.679179
ceiling(Gate 1),study2_raw_39,medical_director_supports_private,0.025000,0.037327
ceiling(Gate 1),study2_raw_09,medical_director_supports_private,1.000000,0.998499
ceiling(Gate 1),study2_raw_12,baseline,0.025000,0.008577
ceiling(Gate 1),study2_raw_13,medical_director_supports_private,0.950000,0.970688
ceiling(Gate 1),study2_raw_17,medical_director_supports_private,0.250000,0.245085
ceiling(Gate 1),study2_raw_24,medical_director_opposes_private,0.825000,0.867036
ceiling(Gate 1),study2_raw_26,medical_director_opposes_private,0.875000,0.754915
ceiling(Gate 1),study2_raw_35,medical_director_opposes_private,0.625000,0.731059
ceiling(Gate 1),study2_raw_40,baseline,0.975000,0.932453
ceiling(Gate 1),study2_raw_09,medical_director_supports_private,0.000000,0.003594
ceiling(Gate 1),study2_raw_12,baseline,0.975000,0.995390
ceiling(Gate 1),study2_raw_13,medical_director_supports_private,0.050000,0.037327
ceiling(Gate 1),study2_raw_17,medical_director_supports_private,0.750000,0.798187
ceiling(Gate 1),study2_raw_24,medical_director_opposes_private,0.175000,0.132964
ceiling(Gate 1),study2_raw_26,medical_director_opposes_private,0.125000,0.222700
ceiling(Gate 1),study2_raw_35,medical_director_opposes_private,0.375000,0.407333
ceiling(Gate 1),study2_raw_40,baseline,0.025000,0.067547
