ParticipantNumber,Condition,conditiongroup,cond2,Participate,part,ValidEmail,ValidEmailYes1No0,Age,AgeRange,Whatisyouryearofbirth,Gender,M,Race,Religion,P,EducationLevel,R,QuestionTypePrefer,AttitudetoLatePayment,U,cond1,agecat,gender,edu,ethn,rel
23,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
24,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Open-ended questions (e.g. text entry),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
25,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
26,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,White,Christian
27,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,26,25-29,1996,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
28,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,White,Christian
29,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
30,Decoy Condition,Decoy Condition 1,Decoy: target 1st,No,No,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
31,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
32,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,White,Christian
33,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Christian
34,Decoy Condition,Decoy Condition 1,Decoy: target 1st,No,No,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,White,Christian
35,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,28,25-29,1994,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,White,Christian
36,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,28,25-29,1994,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
37,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,28,25-29,1994,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
38,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,28,25-29,1994,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Female,Graduate or professional degree,White,Christian
39,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,28,25-29,1994,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,White,Christian
40,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,28,25-29,1994,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Bachelor's degree,White,Christian
41,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,25,25-29,1997,0,Female,5,6,Muslim,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,White,Ohter religion
42,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,25,25-29,1997,1,Male,5,6,Muslim,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Ohter religion
43,Decoy Condition,Decoy Condition 1,Decoy: target 1st,No,No,Yes,1,25,25-29,1997,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Male,Bachelor's degree,Asian,Christian
44,Decoy Condition,Decoy Condition 1,Decoy: target 1st,No,No,Yes,1,32,30-35,1990,1,Male,5,6,Muslim,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Male,Bachelor's degree,White,Ohter religion
45,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,22,20-24,2000,0,Female,1,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Female,Bachelor's degree,Asian,No religion
46,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,23,20-24,1999,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Decoy,20-24,Female,Bachelor's degree,Asian,Christian
47,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,21,20-24,2001,0,Female,1,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Female,Bachelor's degree,Asian,No religion
48,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,22,20-24,2000,0,Female,1,2,No Religion,2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,No religion
49,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,23,20-24,1999,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,20-24,Female,Graduate or professional degree,Asian,Christian
50,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,21,20-24,2001,0,Female,1,2,No Religion,2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,No religion
51,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,22,20-24,2000,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
52,Control Condition,Control Condition,Control,No,No,Yes,1,21,20-24,2001,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
53,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,20,20-24,2002,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
54,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,21,20-24,2001,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
55,Control Condition,Control Condition,Control,No,No,Yes,1,22,20-24,2000,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Open-ended questions (e.g. text entry),Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
56,Decoy Condition,Decoy Condition 1,Decoy: target 1st,No,No,Yes,1,20,20-24,2002,0,Female,1,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Female,Bachelor's degree,Asian,No religion
57,Control Condition,Control Condition,Control,No,No,Yes,1,23,20-24,1999,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
58,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,20,20-24,2002,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Male,Bachelor's degree,Asian,Christian
59,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,22,20-24,2000,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,20-24,Male,Bachelor's degree,Asian,Christian
60,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,21,20-24,2001,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Male,Bachelor's degree,Asian,Christian
61,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,21,20-24,2001,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Female,Bachelor's degree,Asian,Christian
62,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,26,25-29,1996,1,Male,6,1,Hindu,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Bachelor's degree,Black,Ohter religion
63,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,23,20-24,1999,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,20-24,Female,Bachelor's degree,Asian,Christian
64,Control Condition,Control Condition,Control,No,No,Yes,1,24,20-24,1998,0,Female,4,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,20-24,Female,Graduate or professional degree,Other,No religion
65,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,32,30-35,1990,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Probably yes,,Control,2.0,Male,Graduate or professional degree,White,Christian
66,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,24,20-24,1998,1,Male,5,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,20-24,Male,Bachelor's degree,White,No religion
67,Decoy Condition,Decoy Condition 1,Decoy: target 1st,No,No,Yes,1,22,20-24,2000,1,Male,5,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Probably yes,,Decoy,20-24,Male,Bachelor's degree,White,No religion
68,Control Condition,Control Condition,Control,No,No,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Bachelor's degree,White,Christian
69,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,29,25-29,1993,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Male,Bachelor's degree,White,Christian
70,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,26,25-29,1996,1,Male,6,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Male,Bachelor's degree,Black,Christian
71,Decoy Condition,Decoy Condition 1,Decoy: target 1st,No,No,Yes,1,25,25-29,1997,0,Female,6,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Female,Bachelor's degree,Black,Christian
72,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,24,20-24,1998,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Female,Bachelor's degree,White,Christian
73,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,0,Female,5,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Female,Graduate or professional degree,White,No religion
74,Control Condition,Control Condition,Control,No,No,Yes,1,26,25-29,1996,1,Male,6,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Bachelor's degree,Black,Christian
75,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,29,25-29,1993,1,Male,6,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Male,Bachelor's degree,Black,No religion
76,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,26,25-29,1996,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Female,Graduate or professional degree,Asian,Christian
77,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,24,20-24,1998,0,Female,5,2,No Religion,2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,20-24,Female,Bachelor's degree,White,No religion
78,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,23,20-24,1999,0,Female,3,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,20-24,Female,Bachelor's degree,Other,Christian
79,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,0,Female,6,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,Black,No religion
80,Control Condition,Control Condition,Control,No,No,Yes,1,27,25-29,1995,1,Male,3,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Bachelor's degree,Other,Christian
81,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,29,25-29,1993,1,Male,5,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,No religion
82,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,Christian
83,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,23,20-24,1999,0,Female,6,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,20-24,Female,Bachelor's degree,Black,Christian
84,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,1,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Male,Bachelor's degree,Asian,Christian
85,Decoy Condition,Decoy Condition 1,Decoy: target 1st,Yes,Yes,Yes,1,28,25-29,1994,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Graduate or professional degree,Asian,Christian
86,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,No,No,No,0,31,30-35,1991,1,Male,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,2.0,Male,Graduate or professional degree,White,Christian
87,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,26,25-29,1996,0,Female,6,2,No Religion,2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,25-29,Female,Bachelor's degree,Black,No religion
88,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,27,25-29,1995,1,Male,5,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Decoy,25-29,Male,Graduate or professional degree,White,No religion
89,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,27,25-29,1995,0,Female,1,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Female,Graduate or professional degree,Asian,Christian
90,Control Condition,Control Condition,Control,No,No,No,0,23,20-24,1999,0,Female,5,2,No Religion,2,University - Bachelors Degree,There is no difference between the two options for me,Definitely yes,,Control,20-24,Female,Bachelor's degree,White,No religion
91,Decoy Condition,Decoy Condition 2,Decoy; decoy 1st,Yes,Yes,Yes,1,30,30-35,1992,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",Close-ended questions (e.g. multiple choice),Definitely yes,,Decoy,2.0,Female,Graduate or professional degree,White,Christian
92,Control Condition,Control Condition,Control,Yes,Yes,Yes,1,26,25-29,1996,0,Female,5,3,Christian (Catholic protestant or any other Christian denominations),2,University - Bachelors Degree,Close-ended questions (e.g. multiple choice),Definitely yes,,Control,25-29,Female,Bachelor's degree,White,Christian
93,Control Condition,Control Condition,Control,No,No,Yes,1,25,25-29,1997,1,Male,5,2,No Religion,1,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree etc)",There is no difference between the two options for me,Definitely yes,,Control,25-29,Male,Graduate or professional degree,White,No religion
